"CLIENTID","APPLNO","STATUS","APVREM","REJREM","MKTASST","PRODDS","AMTFIN"
"2000052197","5000045313","AVL","REPLACEMENT ACCOUNT OF WRITTEN OFF ACCT UNDER LOAN NO. 1000214458 
NO DEL. PAYMENT IN PREV. CAR LOAN WITH MAYBANK
NO BOUNCING EXPERIENCE ON CHECKING ACCT WITH MAYBANK SINCE 2014 WITH LOW 6 ADB
EMPLOYED FOR 9YEARS
WITHIN EMA/ELA

                         ","","CRONQUILLO  ","CARS-SECOND HAND              ","550000"
"2000052936","5000045310","CAN","","","LPUNSALAN   ","CARS-SECOND HAND              ","350000"
"2000052932","5000045309","CAN","","","LPUNSALAN   ","CARS-SECOND HAND              ","600000"
"2000052933","5000045308","AVL","WITHIN EMA/ELA
EMPLOYED FOR TWO YEARS IN ALPAZ AGRI SUPLLY PRIOR OPENING HIS OWN BUSINESS AS DISTRIBUTOR OF HIS FORMER COMPANY
ADB IS LOW6
TERM IS 24 MONTHS ONLY
                                                                                            ","","CRONQUILLO  ","CARS-SECOND HAND              ","490000"
"2000052927","5000045304","AVL","WITHIN EMA/ELA
CLIENT & FIANCE/CO-MAKER WERE CPA
MOTHER/CO-MAKER IS PUBLIC SCHOOL TEACHER
NEGATIVE ON NFIS 

                                                                                                                                                 ","","FCARREON    ","CARS-SECOND HAND              ","800000"
"2000019229","5000045298","REJ","","NFIS+                                                                                                                                                                                                                                                         ","LPUNSALAN   ","CARS-SECOND HAND              ","1200000"
"2000000292","5000045297","CAN","APV TO PEN-CHANGE TERM FRM 18 TO 24 MOS.
DOUBLE ACCT;  PASSED CS OF CREDIT; GOOD FINANCIAL RATIOS; NO DEL. IN PAYMENT ON LOANS FROM BANKS AND FINANCING COMPANIES                                                                                             ","","LPUNSALAN   ","CARS-SECOND HAND              ","500000"
"2000052920","5000045295","CAN","","","LPUNSALAN   ","CARS-SECOND HAND              ","630000"
"2000047213","5000045294","LAP","RENEWAL CLIENT WITH AA PAYMENT HISTORY RATING
NBE ON CHECKING ACCTS WITH SECURITY BANK AND RCBC
WITHIN EMA/ELA
GOOD FINANCIAL RATIOS
AMT APPLIED IS 37.42% OF APPRAISAL VALUE ONLY                                                                            ","","CRONQUILLO  ","CARS-SECOND HAND              ","250000"
"2000052917","5000045293","CAN","","","CRONQUILLO  ","CARS-SECOND HAND              ","200000"
"2000052914","5000045292","AVL","WITHIN EMA/ELA
NO DELAYED IN PAYMENT IN HIS CAR LOANS FROM BANKS AND FINANCING COMPANIES
GOOD FINANCIAL RATIOS
THE FAIR MARKET VALUE OF THE COLLATERAL IS 1.1M TO 1.2M. THE APPRAISAL IS 800K ONLY IN COSIDERATION TO THE SALEABILITY OF UNIT ONCE FORECLOSED ","","CRONQUILLO  ","CARS-SECOND HAND              ","600000"
"2000052915","5000045291","AVL","APV TO PEN DUE TO CORRECTION OF INCENTIVE FROM SI TO DI
WITHIN EMA/ELA
APPLIED AMT IS 35.66% OF APPRAISAL VALUE ONLY
BUSINESS IS ESSENTIAL (GROCERY)
GOOD FINANCIAL RATIOS                                                                                    ","","CRONQUILLO  ","CARS-SECOND HAND              ","440000"
"2000052783","5000045290","CAN","","","LPUNSALAN   ","CARS-SECOND HAND              ","290000"
"2000052911","5000045289","CAN","","","LPUNSALAN   ","CARS-SECOND HAND              ","552000"
"2000047564","5000045287","AVL","RENEWAL SAME COLLA WITH A1 PAYMENT HISTORY RATING
APPLIED AMT IS 49.50% OF APPRAISAL VALUE ONLY
W/VERIFIED ASSETS
ENCOUNTERED DELAYS IN PAYMENT WAS DUE TO LATE REMITTANCE FROM SON 
OB OF LOAN NO. 1000210429 WILL BE DEDUCTED FRM PROCEEDS 
                ","","CRONQUILLO  ","CARS-SECOND HAND              ","100000"
"2000052909","5000045286","CAN","","","CRONQUILLO  ","CARS-SECOND HAND              ","400000"
"2000052904","5000045284","AVL","WITHIN EMA/ELA
CO-MAKER IS BROTHER WHO WILL MANAGE HER BUSINESS ONCE SHE WENT BACK TO JAPAN NEXT WEEK.
GOOD FINANCIAL RATIOS
HUSBAND IS JAPAN RESIDENT WORKING AS HOTEL MANAGER
                                                                              ","","CRONQUILLO  ","CARS-SECOND HAND              ","300000"
"2000052900","5000045282","CAN","","","LPUNSALAN   ","CARS-SECOND HAND              ","220000"
"2000052897","5000045280","AVL","APV TO PEN DUE TO CHANGE COMMISSION, FROM SI TO DI
WITHIN EMA/ELA
WITH VERIFIED TWO TCT UNDER CLIENT'S NAME
ONLY CHILD, RECEIVES REMITTANCE FROM MOTHER FOR 25YEARS
NDP ON MOTORCYCLE AND REM LOAN
NBE ON CHECKING ACCT WITH MAYBANK                          ","","CRONQUILLO  ","CARS-SECOND HAND              ","383000"
"2000052824","5000045273","CAN","","","FCARREON    ","CARS-SECOND HAND              ","500000"
"2000052887","5000045272","AVL","apv to pen due to change of loan amount from 240k to 210k only
WITHIN EMA/ELA
SPOUSES ARE PUBLIC SCHOOL TEACHER FOR 17 YEARS AND 19 YEARS RESPECTIVELY. PRESENT RANK IS TEACHER III FOR SPOUSES
NFIS NEGATIVE                                                 ","","FCARREON    ","CARS-SECOND HAND              ","210000"
"2000052886","5000045271","AVL","APV TO PEN TO CORRECT THE RELATIONSHIP OF CO-MAKER FROM COUSIN TO RELATIVE
WITHIN EMA/ELA
APPLIED AMT IS 58.15% OF APPRAISAL VALUE ONLY
FORMER OFW FOR 9YRS AS BOOKEEPER PRIOR JOINING HER PRESENT COMPANY
NFIS FINDINGS WERE 10YRS OLD                       ","","CRONQUILLO  ","CARS-SECOND HAND              ","278000"
"2000052884","5000045270","CAN","","","CRONQUILLO  ","CARS-SECOND HAND              ","800000"
"2000053118","5000045461","CAN","","","LPUNSALAN   ","CARS-SECOND HAND              ","364000"
"2000053116","5000045460","REJ","","VARIOUS CREDIT CARDS                                                                                                                                                                                                                                          ","LPUNSALAN   ","CARS-SECOND HAND              ","680000"
"2000053083","5000045436","LAP","WITHIN EMA/ELA
NDP ON LOANS WITH PAG-IBIG FUND
EMPLOYMENT IS 4 YEARS AND 13 YEARS RESPECTIVELY
NFIS FINDINGS WAS REPORTED 2010


                                                                                                                             ","","LPUNSALAN   ","CARS-SECOND HAND              ","350000"
"2000053071","5000045431","CAN","","","LPUNSALAN   ","CARS-SECOND HAND              ","360000"
"2000053066","5000045427","AVL","WITHIN EMA/ELA
CLIENT IS LICENSED PT WHILE WIFE IS A NURSE
RECEIVING REMITTANCE FROM PARENTS & SIBLINGS
APPLIED AMOUNT IS 26.31% OF APPRAISAL VALUE ONLY
SHORT TERM LOAN
NDP ON LOAN WITH TFS                                                                 ","","LPUNSALAN   ","CARS-SECOND HAND              ","125000"
"2000053052","5000045421","REJ","","TFS-FORECLOSED 2017                                                                                                                                                                                                                                           ","LPUNSALAN   ","CARS-SECOND HAND              ","640000"
"2000053013","5000045386","CAN","","","LPUNSALAN   ","CARS-SECOND HAND              ","800000"
"2000053009","5000045385","LAP","WITHIN EMA/ELA
EMPLOYED FOR MORE THAN 2 YRS IN THE PRESENT COMPANY AND 8 YRS IN BPO INDUSTRY
NFIS NEGATIVE
FATHER/CO-MAKER WAS ABLE TO SUPPORT CLIENT & ONLY BROTHER FINISHING COLLEGE

                                                                      ","","LPUNSALAN   ","CARS-SECOND HAND              ","212000"
"2000053010","5000045384","CAN","","","CRONQUILLO  ","CARS-SECOND HAND              ","350000"
"2000049703","5000045382","AVL","CO of 100k
Term of 24 mos
within EMA/ELA -good renewal client -small cash
out -short term                                                                                                                                                                     ","","CRONQUILLO  ","CARS-SECOND HAND              ","100000"
"2000052997","5000045371","CAN","","","LPUNSALAN   ","CARS-SECOND HAND              ","520000"
"2000052965","5000045348","CAN","","","LPUNSALAN   ","CARS-SECOND HAND              ","400000"
"2000052930","5000045306","AVL","APV TO PEN DUE TO CHANGE OF LAST NAME FRM ASAKAWA TO JUDAL. WITH PRESENTED MARRIAGE CONTRACT WITH HER NEW HUSBAND
GOOD FINANCIAL RATIOS
PASSED CS OF CREDIT
NDP ON LOANS FRM BANKS & FINANCING COMP.                                                          ","","LPUNSALAN   ","CARS-SECOND HAND              ","500000"
"2000053126","5000045468","CAN","","","LPUNSALAN   ","CARS-SECOND HAND              ","730000"
"2000053124","5000045466","PEN","","","LPUNSALAN   ","CARS-SECOND HAND              ","480000"
"2000053100","5000045448","CAN","","","LPUNSALAN   ","CARS-SECOND HAND              ","640000"
"2000053098","5000045447","CAN","","","LPUNSALAN   ","CARS-SECOND HAND              ","1000000"
"2000053089","5000045439","CAN","","","CRONQUILLO  ","CARS-SECOND HAND              ","400000"
"2000053087","5000045438","REJ","","BOF REPORTED 01-24-2022                                                                                                                                                                                                                                       ","LPUNSALAN   ","CARS-SECOND HAND              ","704000"
"2000053085","5000045437","CAN","","","CRONQUILLO  ","CARS-SECOND HAND              ","280000"
"2000053075","5000045433","REJ","","MAIN SOURCE OF INCOME IS 10 MONTHS AND ENGAGED TO LICENSED E-SABONG HOWEVER, IT REQUIRES SOP TO BRGY., POLICE, MAYOR, ETC. THE BIZ IS UNSTABLE
OTHER SOURCE OF INCOME WILL NOT SUFFICE TO PAY THE MONTHLY AMORT. IN CASE CLOSURE OF E-SABONG BUSINESS         ","CRONQUILLO  ","CARS-SECOND HAND              ","704000"
"2000053060","5000045424","REJ","","NPDB TARLAC REPORTED 11-17-2021                                                                                                                                                                                                                               ","LPUNSALAN   ","CARS-SECOND HAND              ","393000"
"2000052672","5000045379","LAP","WITHIN EMA/ELA
NDP ON PERSONAL LOAN WITH UNION BANK AND MOTORCYCE LOAN
CURRENTLY EMPLOYED FOR ALMOST 4 YRS IN THE SAME COMPANY
HUSBAND WORKS IN A BPO COMPANY 
NFIS NEGATIVE
                                                                                 ","","LPUNSALAN   ","CARS-SECOND HAND              ","234000"
"2000052645","5000045373","AVL","WITHIN EMA/ELA
PERMANENT EMPLOYEE OF A CANADIAN BASED BPO COMPANY
SALARY IS PREVIOUSLY CREDITED TO HIS BDO ACCT (CLOSED ALREADY) BEFORE HE OPEN UNION BANK ACCT 
CO-MAKER IS HIS MOTHER 
NO NFIS RECORD



                                                   ","","LPUNSALAN   ","CARS-SECOND HAND              ","275000"
"2000052970","5000045352","REJ","","W ADVERSE REPUTATION IN THE COMMUNITY                                                                                                                                                                                                                         ","LPUNSALAN   ","CARS-SECOND HAND              ","550000"
"2000052922","5000045350","AVL","APV TO PEN DUE TO CORRECT PLATE NO. 
ININ- CHILDREN ABROAD WILL SEND REMITTANCE 
APPLIED AMT IS 62.18% OF APPRAISAL VALUE ONLY
RICE AND CORN FARM IS 30 YRS AND RECEIVING PENSION FOR 7 YRS
H&LOT IS OWNED
GOOD FINANCIAL RATIOS                              ","","CRONQUILLO  ","CARS-SECOND HAND              ","370000"
"2000052957","5000045338","CAN","","","LPUNSALAN   ","CARS-SECOND HAND              ","400000"
"2000051401","5000045321","AVL","RENEWAL CLIENT WITH AA PAYMENT HISTORY RATING
CO-MAKER/MOTHER IS VALUED CLIENT OF ENCORE 
WITHIN EMA/ELA
SPOUSES WERE BANKERS AND EMPLOYED FOR 5 YRS & 6YRS RESPECTIVELY
APPLIED AMT IS 62.07% OF APPRAISAL VALUE ONLY
                                       ","","CRONQUILLO  ","CARS-SECOND HAND              ","360000"
"2000052922","5000045299","CAN","","","FCARREON    ","CARS-SECOND HAND              ","370000"
"2000052892","5000045277","AVL","APV TO PEN- TO CORRECT REMARKS FROM SI TO DI AND TO INDICATE AMT OF D.I.
WITHIN EMA/ELA
NBE ON CHECKING ACCT SINCE 2010
BUSINESS IS 10YRS IN OPERATION                                                                                                        ","","LPUNSALAN   ","CARS-SECOND HAND              ","450000"
"2000047400","5000045274","AVL","APV TO PEN TO CORRECT THE TAGGING OF MAILING ADDRESS 
LAPSED  APPROVAL ON DEC. 20, 2021
RENEWAL SAME COLLA WITH AA PAYMENT HISTORY RATING
WITHIN EMA/ELA
BUSINESS IS 24 YRS OLD
PURPOSE OF LOAN WAS VERIFIED                                                  ","","CRONQUILLO  ","CARS-SECOND HAND              ","400000"
"2000053120","5000045462","CAN","","","LPUNSALAN   ","CARS-SECOND HAND              ","1150000"
"2000016383","5000045450","AVL","WITHIN EMA/ELA
THE SON ABROAD CONFIRMS THAT HE WILL PAY FOR THE MONTHLY AMORTIZATION
NO DEL. IN PAYMENT ON CURRENT AND PREVIOUS LOANS
WITH VERIFIED REAL PROPERTIES
NO BOUNCING EXP. SINCE 2013
ADB IS LOW 6 BOTH SAVINGS AND CURRENT ACCOUNT                 ","","LPUNSALAN   ","CARS-SECOND HAND              ","738000"
"2000053079","5000045440","AVL","WITHIN EMA/ELA
GRADUATE  OF ECE AND WORKING WITH SWEDEN COMPANY FOR 1 YR & 7 MONTHS AFTER CLOSURE OF ERICSSON, WHERE HE WORKS AS SENIOR DESIGNER FOR 3YRS
CO-MAKER IS MOTHER WITH OWNED AGRI LOT SUPPORTED BY TCT
NFIS NEGATIVE
                              ","","LPUNSALAN   ","CARS-SECOND HAND              ","350000"
"2000053081","5000045435","REJ","","PSBANK 09-01-2021                                                                                                                                                                                                                                             ","LPUNSALAN   ","CARS-SECOND HAND              ","393000"
"2000053064","5000045426","CAN","","","CRONQUILLO  ","CARS-SECOND HAND              ","681000"
"2000053062","5000045425","REJ","","CLOSED CURRENT ACCTS & CREDIT CARDS W/ BIG BALANCE                                                                                                                                                                                                            ","LPUNSALAN   ","CARS-SECOND HAND              ","800000"
"2000053035","5000045407","CAN","","","CRONQUILLO  ","CARS-SECOND HAND              ","350000"
"2000018919","5000045361","CAN","","","CRONQUILLO  ","CARS-SECOND HAND              ","696500"
"2000052981","5000045358","LAP","WITHIN EMA/ELA
CO-MAKER/BROTHER WILL HELP IN THE PAYMENT OF LOAN SINCE, THIS IS A FAMILY SERVICE
EMPLOYED FOR TWO COMPANIES, 1 USA BASED AND 1 IN CLARK, PAMP. UNDER WFH ARRANGEMENT
BPI ACCT IS 5 YRS OLD
NO NFIS FINDINGS

                                 ","","LPUNSALAN   ","CARS-SECOND HAND              ","340000"
"2000052922","5000045345","CAN","","","CRONQUILLO  ","CARS-SECOND HAND              ","370000"
"2000048453","5000045316","CAN","","","CRONQUILLO  ","CARS-SECOND HAND              ","390000"
