Employee ID,Time In Date,Time In,Time In Latitude,Time In Longitude,Time In IP address,Time Out Date,Time Out,Time Out Latitude,Time Out Longitude,Time Out IP address,Remarks
6,"May 12, 2021",8:25:00 am,,,::1,"May 12, 2021",6:03:50 pm,,,::1,
6,"May 14, 2021",7:49:08 am,,,::1,"May 14, 2021",5:41:13 pm,,,::1,
7,"May 14, 2021",8:04:18 am,,,::1,"May 14, 2021",5:35:44 pm,,,::1,
2,"May 14, 2021",8:26:00 am,,,::1,"May 14, 2021",5:35:00 pm,,,::1,
40,"May 14, 2021",5:46:03 pm,,,::1,"May 14, 2021",5:46:05 pm,,,::1,
2,"May 17, 2021",7:22:36 am,,,::1,"May 17, 2021",5:34:21 pm,,,::1,
20,"May 17, 2021",7:57:52 am,,,::1,"May 18, 2021",8:17:10 am,,,::1,
40,"May 17, 2021",8:05:37 am,,,::1,"May 18, 2021",7:58:38 am,,,::1,
7,"May 17, 2021",8:05:48 am,,,::1,"May 17, 2021",5:34:59 pm,,,::1,
6,"May 17, 2021",8:08:33 am,,,::1,"May 17, 2021",6:06:33 pm,,,::1,
2,"May 18, 2021",7:42:00 am,,,::1,"May 18, 2021",6:08:00 pm,,,::1,
40,"May 18, 2021",7:58:44 am,,,::1,"May 18, 2021",6:28:36 pm,,,::1,
6,"May 18, 2021",8:04:46 am,,,::1,"May 18, 2021",6:07:56 pm,,,::1,
7,"May 18, 2021",8:14:08 am,,,::1,"May 18, 2021",5:34:48 pm,,,::1,
20,"May 18, 2021",8:17:31 am,,,::1,"May 19, 2021",8:01:52 am,,,::1,
2,"May 19, 2021",7:22:19 am,,,::1,"May 19, 2021",6:30:35 pm,,,::1,
20,"May 19, 2021",8:01:57 am,,,::1,"May 20, 2021",10:29:07 am,,,::1,
7,"May 19, 2021",8:07:27 am,,,::1,"May 19, 2021",5:34:36 pm,,,::1,
6,"May 19, 2021",8:07:43 am,,,::1,"May 19, 2021",6:30:43 pm,,,::1,
40,"May 19, 2021",6:30:47 pm,,,::1,"May 19, 2021",6:30:48 pm,,,::1,
2,"May 20, 2021",7:57:00 am,,,::1,"May 20, 2021",6:11:00 pm,,,::1,
7,"May 20, 2021",8:10:32 am,,,::1,"May 20, 2021",5:33:21 pm,,,::1,
6,"May 20, 2021",8:13:56 am,,,::1,"May 20, 2021",6:24:20 pm,,,::1,
40,"May 20, 2021",8:23:21 am,,,::1,"May 20, 2021",6:30:25 pm,,,::1,
20,"May 20, 2021",10:29:09 am,,,::1,"May 21, 2021",7:41:55 am,,,::1,
20,"May 21, 2021",7:42:07 am,,,::1,"May 25, 2021",8:07:14 am,,,::1,
7,"May 21, 2021",8:11:23 am,,,::1,"May 21, 2021",12:00:45 pm,,,::1,
2,"May 21, 2021",8:11:00 am,,,::1,"May 21, 2021",6:03:00 pm,,,::1,
6,"May 21, 2021",8:15:00 am,,,::1,"May 21, 2021",5:42:00 pm,,,::1,
40,"May 21, 2021",6:25:24 pm,,,::1,"May 21, 2021",6:25:25 pm,,,::1,
7,"May 24, 2021",7:15:06 am,,,::1,"May 24, 2021",5:34:01 pm,,,::1,
6,"May 24, 2021",7:57:19 am,,,::1,"May 24, 2021",6:07:02 pm,,,::1,
40,"May 24, 2021",6:22:28 pm,,,::1,"May 24, 2021",6:22:29 pm,,,::1,
6,"May 25, 2021",7:59:28 am,,,::1,"May 25, 2021",5:44:32 pm,,,::1,
2,"May 25, 2021",8:03:00 am,,,::1,"May 25, 2021",6:35:00 pm,,,::1,
7,"May 25, 2021",8:06:22 am,,,::1,"May 25, 2021",5:33:31 pm,,,::1,
20,"May 25, 2021",8:07:19 am,,,::1,"May 25, 2021",6:36:16 pm,,,::1,
40,"May 25, 2021",8:26:02 am,,,::1,"May 25, 2021",5:33:07 pm,,,::1,
2,"May 26, 2021",7:58:30 am,,,::1,"May 26, 2021",6:29:33 pm,,,::1,
20,"May 26, 2021",8:06:14 am,,,::1,"May 27, 2021",8:10:58 am,,,::1,
7,"May 26, 2021",8:12:39 am,,,::1,"May 26, 2021",5:36:50 pm,,,::1,
6,"May 26, 2021",8:13:00 am,,,::1,"May 26, 2021",6:30:49 pm,,,::1,
40,"May 26, 2021",5:59:09 pm,,,::1,"May 26, 2021",5:59:11 pm,,,::1,
2,"May 27, 2021",7:59:48 am,,,::1,"May 27, 2021",6:10:03 pm,,,::1,
7,"May 27, 2021",8:01:38 am,,,::1,"May 27, 2021",5:33:01 pm,,,::1,
6,"May 27, 2021",8:10:17 am,,,::1,"May 27, 2021",5:31:38 pm,,,::1,
20,"May 27, 2021",8:11:05 am,,,::1,"May 31, 2021",8:16:38 am,,,::1,
40,"May 27, 2021",8:29:57 am,,,::1,"May 27, 2021",5:49:56 pm,,,::1,
7,"May 28, 2021",8:03:05 am,,,::1,"May 28, 2021",5:33:32 pm,,,::1,
40,"May 28, 2021",8:23:23 am,,,::1,"May 28, 2021",6:07:41 pm,,,::1,
2,"May 31, 2021",8:06:00 am,,,::1,"May 31, 2021",6:50:00 pm,,,::1,
7,"May 31, 2021",8:06:24 am,,,::1,"May 31, 2021",5:34:53 pm,,,::1,
6,"May 31, 2021",8:10:58 am,,,::1,"May 31, 2021",6:20:46 pm,,,::1,
20,"May 31, 2021",8:16:44 am,,,::1,"May 31, 2021",6:34:25 pm,,,::1,
2,"June 01, 2021",7:50:20 am,,,::1,"June 01, 2021",5:34:40 pm,,,::1,
7,"June 01, 2021",8:07:39 am,,,::1,"June 01, 2021",5:34:10 pm,,,::1,
20,"June 01, 2021",8:08:28 am,,,::1,"June 01, 2021",6:06:00 pm,,,::1,
6,"June 01, 2021",8:25:13 am,,,::1,"June 01, 2021",6:13:59 pm,,,::1,
40,"June 01, 2021",6:11:43 pm,,,::1,"June 01, 2021",6:11:45 pm,,,::1,
20,"June 02, 2021",8:11:12 am,,,::1,"June 07, 2021",7:52:23 am,,,::1,
7,"June 02, 2021",8:16:34 am,,,::1,"June 02, 2021",5:35:49 pm,15.4943421,120.9756558,::1,
2,"June 02, 2021",8:24:00 am,,,::1,"June 03, 2021",6:01:00 pm,,,::1,
40,"June 02, 2021",8:25:08 am,,,::1,"June 02, 2021",8:27:13 am,,,::1,
6,"June 02, 2021",8:48:32 am,,,::1,"June 02, 2021",5:42:35 pm,,,::1,
40,"June 02, 2021",5:51:25 pm,,,::1,"June 02, 2021",5:51:27 pm,,,::1,
6,"June 03, 2021",7:56:07 am,15.4943421,120.9756558,::1,"June 03, 2021",5:36:24 pm,15.4848239,120.9691619,::1,
7,"June 03, 2021",8:14:10 am,15.4943421,120.9756558,::1,"June 03, 2021",5:38:57 pm,15.4735062,120.9761487,::1,
2,"June 03, 2021",7:22:00 am,,,::1,"June 03, 2021",5:27:00 pm,15.4735062,120.9761487,::1,
40,"June 03, 2021",8:23:54 am,,,::1,"June 03, 2021",5:47:20 pm,,,::1,
2,"June 04, 2021",7:27:22 am,15.4735062,120.9761487,::1,"June 04, 2021",5:38:22 pm,15.4735062,120.9761487,::1,
7,"June 04, 2021",8:01:47 am,15.4735062,120.9761487,::1,"June 04, 2021",5:32:04 pm,15.4735062,120.9761487,::1,
40,"June 04, 2021",8:22:06 am,,,::1,"June 04, 2021",6:06:03 pm,,,::1,
6,"June 04, 2021",8:24:09 am,15.484828,120.9691567,::1,"June 04, 2021",5:40:42 pm,15.4848224,120.9691666,::1,
2,"June 07, 2021",7:35:00 am,15.4735062,120.9761487,::1,"June 07, 2021",6:10:00 pm,15.4735062,120.9761487,::1,
20,"June 07, 2021",7:52:31 am,,,::1,"June 08, 2021",8:09:09 am,,,::1,
40,"June 07, 2021",8:14:27 am,,,::1,"June 07, 2021",6:24:54 pm,,,::1,
6,"June 07, 2021",8:14:00 am,15.4848199,120.9691659,::1,"June 07, 2021",5:38:01 pm,15.4848237,120.969162,::1,
6,"June 08, 2021",8:08:05 am,,,::1,"June 08, 2021",5:39:53 pm,15.4848237,120.969166,::1,
20,"June 08, 2021",8:09:17 am,,,::1,"June 09, 2021",8:16:14 am,,,::1,
2,"June 08, 2021",8:10:00 am,15.4735062,120.9761487,::1,"June 08, 2021",6:39:00 pm,15.48288,120.9696256,::1,
7,"June 08, 2021",8:11:16 am,15.4735062,120.9761487,::1,"June 08, 2021",5:36:50 pm,15.4735062,120.9761487,::1,
2,"June 09, 2021",7:39:00 am,15.48288,120.9696256,::1,"June 09, 2021",6:50:00 pm,15.4735062,120.9761487,::1,
6,"June 09, 2021",8:09:13 am,15.4735062,120.9761487,::1,"June 09, 2021",5:35:47 pm,15.4848196,120.9691663,::1,
7,"June 09, 2021",8:13:39 am,15.4735062,120.9761487,::1,"June 09, 2021",5:34:10 pm,15.4735062,120.9761487,::1,
20,"June 09, 2021",8:16:19 am,,,::1,"June 10, 2021",8:18:19 am,,,::1,
40,"June 09, 2021",5:36:33 pm,15.4735062,120.9761487,::1,"June 09, 2021",5:36:35 pm,15.4735062,120.9761487,::1,
2,"June 10, 2021",7:35:16 am,15.4735062,120.9761487,::1,"June 10, 2021",5:38:16 pm,15.4735062,120.9761487,::1,
7,"June 10, 2021",8:10:58 am,15.4735062,120.9761487,::1,"June 10, 2021",5:37:47 pm,15.4735062,120.9761487,::1,
6,"June 10, 2021",8:13:29 am,15.4848834,120.9691561,::1,"June 10, 2021",5:41:11 pm,15.484831,120.9691663,::1,
20,"June 10, 2021",8:18:24 am,,,::1,"June 14, 2021",8:14:20 am,,,::1,
40,"June 10, 2021",6:14:43 pm,15.4943473,120.9761487,::1,"June 10, 2021",6:14:46 pm,15.4943473,120.9761487,::1,
2,"June 11, 2021",7:28:00 am,15.4735062,120.9761487,::1,"June 11, 2021",6:45:00 pm,15.4735062,120.9761487,::1,
7,"June 11, 2021",8:12:11 am,15.4735062,120.9761487,::1,"June 11, 2021",5:37:57 pm,15.4735062,120.9761487,::1,
6,"June 11, 2021",8:22:38 am,15.4848437,120.9691664,::1,"June 11, 2021",5:48:07 pm,15.4848306,120.9691692,::1,
2,"June 14, 2021",8:04:16 am,15.4735062,120.9761487,::1,"June 14, 2021",5:46:28 pm,15.4735062,120.9761487,::1,
40,"June 14, 2021",8:04:21 am,15.4735062,120.9761487,::1,"June 14, 2021",5:41:23 pm,15.4735062,120.9761487,::1,
7,"June 14, 2021",8:04:57 am,15.4735062,120.9761487,::1,"June 14, 2021",5:40:21 pm,15.4735062,120.9761487,::1,
6,"June 14, 2021",8:05:13 am,15.4839096,120.9688099,::1,"June 14, 2021",5:56:03 pm,15.4848341,120.9691659,::1,
20,"June 14, 2021",8:14:24 am,,,::1,"June 16, 2021",8:18:47 am,,,::1,
2,"June 15, 2021",7:25:00 am,15.4735062,120.9761487,::1,"June 15, 2021",6:00:00 pm,15.4735062,120.9761487,::1,
6,"June 15, 2021",8:09:33 am,15.484834,120.9691707,::1,"June 15, 2021",6:29:25 pm,15.4848353,120.9691661,::1,
40,"June 15, 2021",8:12:25 am,15.4735062,120.9761487,::1,"June 15, 2021",6:19:38 pm,15.4735062,120.9761487,::1,
7,"June 15, 2021",8:21:28 am,,,::1,"June 15, 2021",5:36:29 pm,15.4735062,120.9761487,::1,
6,"June 16, 2021",7:52:37 am,15.4735062,120.9761487,::1,"June 16, 2021",5:36:18 pm,15.4848309,120.9691663,::1,
7,"June 16, 2021",8:13:46 am,15.4735062,120.9761487,::1,"June 16, 2021",5:36:13 pm,15.4735062,120.9761487,::1,
20,"June 16, 2021",8:18:55 am,,,::1,"June 17, 2021",8:06:45 am,,,::1,
40,"June 16, 2021",8:25:32 am,15.4735062,120.9761487,::1,"June 17, 2021",6:39:39 pm,15.4735062,120.9761487,::1,
2,"June 17, 2021",7:49:26 am,15.4735062,120.9761487,::1,"June 17, 2021",5:33:37 pm,15.4735062,120.9761487,::1,
2,"June 16, 2021",8:30:00 am,,,::1,"June 16, 2021",5:30:00 pm,,,::1,.
6,"June 17, 2021",8:06:43 am,15.4849127,120.9694366,::1,"June 17, 2021",5:46:01 pm,15.4848208,120.9691598,::1,
20,"June 17, 2021",8:06:51 am,,,::1,"June 17, 2021",6:33:34 pm,,,::1,
7,"June 17, 2021",8:08:15 am,15.4735062,120.9761487,::1,"June 17, 2021",5:35:19 pm,15.4735062,120.9761487,::1,
7,"June 18, 2021",7:21:45 am,15.4735062,120.9761487,::1,"June 18, 2021",5:35:57 pm,15.4735062,120.9761487,::1,
20,"June 18, 2021",8:10:11 am,,,::1,"June 22, 2021",8:03:01 am,,,::1,
6,"June 18, 2021",8:10:48 am,15.4735062,120.9761487,::1,"June 18, 2021",5:31:27 pm,15.4735062,120.9761487,::1,
40,"June 18, 2021",8:11:38 am,15.4735062,120.9761487,::1,"June 18, 2021",6:19:22 pm,15.4735062,120.9761487,::1,
2,"June 21, 2021",8:05:00 am,,,::1,"June 21, 2021",6:01:00 pm,,,::1,
7,"June 21, 2021",8:10:04 am,15.4735062,120.9761487,::1,"June 21, 2021",5:37:25 pm,15.4735062,120.9761487,::1,
6,"June 21, 2021",8:11:15 am,15.4842599,120.9690295,::1,"June 21, 2021",5:38:28 pm,15.4848167,120.9691589,::1,
2,"June 22, 2021",7:29:00 am,15.4735062,120.9761487,::1,"June 22, 2021",6:32:00 pm,15.4735062,120.9761487,::1,
6,"June 22, 2021",7:58:26 am,15.4735062,120.9761487,::1,"June 22, 2021",5:33:48 pm,15.4848225,120.9691574,::1,
20,"June 22, 2021",8:03:07 am,,,::1,"June 28, 2021",8:07:03 am,,,::1,
40,"June 22, 2021",8:13:11 am,15.4735062,120.9761487,::1,"June 22, 2021",6:29:24 pm,15.4735062,120.9761487,::1,
2,"June 23, 2021",7:32:00 am,15.4735062,120.9761487,::1,"June 23, 2021",6:40:00 pm,15.4735062,120.9761487,::1,
40,"June 23, 2021",8:01:52 am,15.4735062,120.9761487,::1,"June 23, 2021",5:44:14 pm,15.4735062,120.9761487,::1,
7,"June 23, 2021",8:09:53 am,,,::1,"June 23, 2021",5:35:11 pm,15.4735062,120.9761487,::1,
6,"June 23, 2021",8:10:06 am,15.4847517,120.9689623,::1,"June 24, 2021",3:13:05 pm,15.4848657,120.9691493,::1,
2,"June 24, 2021",7:23:25 am,15.4735062,120.9761487,::1,"June 24, 2021",5:36:41 pm,15.4735062,120.9761487,::1,
7,"June 24, 2021",8:18:09 am,15.4735062,120.9761487,::1,"June 24, 2021",5:35:37 pm,15.4735062,120.9761487,::1,
6,"June 24, 2021",8:13:00 am,15.4848657,120.9691493,::1,"June 24, 2021",5:32:57 pm,15.4848652,120.9691482,::1,
2,"June 25, 2021",7:18:27 am,15.4735062,120.9761487,::1,"June 25, 2021",5:52:12 pm,,,::1,
40,"June 25, 2021",7:32:09 am,15.4735062,120.9761487,::1,"June 25, 2021",6:31:01 pm,15.4943473,120.9761487,::1,
7,"June 25, 2021",8:03:06 am,15.4735062,120.9761487,::1,"June 25, 2021",5:33:33 pm,15.4940882,120.9744009,::1,
2,"June 28, 2021",7:29:00 am,15.4734883,120.9741544,::1,"June 28, 2021",5:55:00 pm,15.4735062,120.9761487,::1,
7,"June 28, 2021",7:37:42 am,15.4734883,120.9741544,::1,"June 28, 2021",5:35:04 pm,15.4943473,120.9761487,::1,
20,"June 28, 2021",8:07:29 am,,,::1,"June 29, 2021",8:21:52 am,,,::1,
6,"June 28, 2021",8:21:00 am,15.4848645,120.969146,::1,"June 28, 2021",5:48:00 pm,15.4848646,120.9691519,::1,
2,"June 29, 2021",6:55:15 am,15.4735062,120.9761487,::1,"June 29, 2021",5:39:52 pm,15.4735062,120.9761487,::1,
6,"June 29, 2021",8:00:58 am,15.4848222,120.9691548,::1,"June 29, 2021",5:53:51 pm,15.4848706,120.9691425,::1,
7,"June 29, 2021",8:04:48 am,,,::1,"June 29, 2021",5:37:02 pm,15.4735062,120.9761487,::1,
20,"June 29, 2021",8:21:58 am,,,::1,"August 02, 2021",8:08:58 am,,,::1,
2,"June 30, 2021",7:23:31 am,15.4735062,120.9761487,::1,"June 30, 2021",5:30:31 pm,15.4735062,120.9761487,::1,
7,"June 30, 2021",8:13:00 am,15.4735062,120.9761487,::1,"June 30, 2021",5:51:39 pm,,,::1,
6,"June 30, 2021",8:12:00 am,15.4848605,120.9691425,::1,"June 30, 2021",6:05:00 pm,15.4848605,120.9691425,::1,
7,"July 01, 2021",7:57:25 am,15.4735062,120.9761487,::1,"July 01, 2021",5:37:46 pm,15.4735062,120.9761487,::1,
2,"July 01, 2021",7:57:00 am,15.4735062,120.9761487,::1,"July 01, 2021",6:15:00 pm,15.4735062,120.9761487,::1,
6,"July 01, 2021",8:01:00 am,15.4735062,120.9761487,::1,"July 01, 2021",5:48:00 pm,15.4848707,120.9691425,::1,
7,"July 02, 2021",8:09:45 am,15.4735062,120.9761487,::1,"July 02, 2021",5:35:07 pm,15.4735062,120.9761487,::1,
2,"July 02, 2021",7:44:00 am,15.4735062,120.9761487,::1,"July 02, 2021",5:36:00 pm,15.4735062,120.9761487,::1,
6,"July 02, 2021",8:12:38 am,15.4848707,120.9691425,::1,"July 02, 2021",6:07:05 pm,15.4848631,120.9691425,::1,
2,"July 05, 2021",7:36:46 am,15.4735062,120.9761487,::1,"July 05, 2021",5:52:17 pm,15.4943473,120.9761487,::1,
7,"July 05, 2021",7:57:55 am,15.4735062,120.9761487,::1,"July 05, 2021",5:35:11 pm,15.4735062,120.9761487,::1,
6,"July 05, 2021",8:08:00 am,15.4848493,120.9691481,::1,"July 05, 2021",5:58:00 pm,15.4848706,120.9691425,::1,
2,"July 06, 2021",7:19:00 am,15.4943473,120.9761487,::1,"July 06, 2021",5:35:00 pm,,,::1,
40,"July 06, 2021",12:46:04 am,15.4943473,120.9761487,::1,"July 08, 2021",7:59:33 am,15.4735062,120.9761487,::1,
7,"July 06, 2021",8:10:12 am,15.4943473,120.9761487,::1,"July 06, 2021",5:39:53 pm,15.4943473,120.9761487,::1,
6,"July 06, 2021",8:28:00 am,15.4943473,120.9761487,::1,"July 06, 2021",6:06:15 pm,15.4848656,120.969139,::1,
2,"July 07, 2021",7:13:32 am,15.4943473,120.9761487,::1,"July 07, 2021",5:31:33 pm,15.4943473,120.9761487,::1,
6,"July 07, 2021",8:15:31 am,15.4848493,120.9691443,::1,"July 07, 2021",5:31:32 pm,15.4848522,120.9691437,::1,
2,"July 08, 2021",7:45:27 am,15.4735062,120.9761487,::1,"July 08, 2021",5:36:18 pm,15.4735062,120.9761487,::1,
40,"July 08, 2021",7:59:36 am,15.4735062,120.9761487,::1,"July 08, 2021",6:02:30 pm,15.4735062,120.9761487,::1,
7,"July 08, 2021",8:06:28 am,15.4735062,120.9761487,::1,"July 08, 2021",5:36:12 pm,15.4735062,120.9761487,::1,
2,"July 09, 2021",7:13:00 am,15.4735062,120.9761487,::1,"July 09, 2021",5:35:00 pm,15.4735062,120.9761487,::1,
40,"July 09, 2021",7:54:45 am,15.4735062,120.9761487,::1,"July 09, 2021",6:12:23 pm,15.4735062,120.9761487,::1,
7,"July 09, 2021",8:13:42 am,15.4735062,120.9761487,::1,"July 09, 2021",5:37:26 pm,15.4735062,120.9761487,::1,
6,"July 09, 2021",8:25:25 am,15.4849344,120.9691342,::1,"July 09, 2021",6:11:33 pm,15.4735062,120.9761487,::1,
2,"July 12, 2021",7:26:43 am,15.4735062,120.9761487,::1,"July 12, 2021",5:31:23 pm,15.4735062,120.9761487,::1,
7,"July 12, 2021",8:04:34 am,15.4735062,120.9761487,::1,"July 12, 2021",5:34:50 pm,15.4735062,120.9761487,::1,
6,"July 12, 2021",8:26:00 am,15.485013,120.9691277,::1,"July 12, 2021",5:33:00 pm,15.4849772,120.9691575,::1,
2,"July 13, 2021",7:34:00 am,15.4943473,120.9761487,::1,"July 13, 2021",6:32:00 pm,15.4735062,120.9761487,::1,
7,"July 13, 2021",8:07:42 am,,,::1,"July 13, 2021",5:34:14 pm,15.4943473,120.9761487,::1,
6,"July 13, 2021",8:30:39 am,15.4850178,120.9691281,::1,"July 13, 2021",5:56:38 pm,15.4849444,120.9691321,::1,
2,"July 14, 2021",7:32:00 am,15.4735062,120.9761487,::1,"July 14, 2021",6:32:00 pm,,,::1,
40,"July 14, 2021",8:04:24 am,15.4735062,120.9761487,::1,"July 14, 2021",6:36:41 pm,15.4735062,120.9761487,::1,
7,"July 14, 2021",8:09:56 am,15.4735062,120.9761487,::1,"July 14, 2021",5:33:26 pm,15.4735062,120.9761487,::1,
6,"July 14, 2021",8:32:03 am,15.484968,120.9691584,::1,"July 14, 2021",5:41:15 pm,15.4849502,120.9691334,::1,
2,"July 15, 2021",7:32:54 am,15.4735062,120.9761487,::1,"July 15, 2021",5:42:57 pm,15.4735062,120.9761487,::1,
7,"July 15, 2021",8:15:33 am,15.4735062,120.9761487,::1,"July 15, 2021",5:33:37 pm,15.4735062,120.9761487,::1,
40,"July 15, 2021",8:17:51 am,15.4735062,120.9761487,::1,"July 15, 2021",6:15:35 pm,15.4735062,120.9761487,::1,
6,"July 15, 2021",8:20:22 am,15.4848376,120.9691129,::1,"July 15, 2021",5:47:10 pm,15.4848476,120.9691935,::1,
7,"July 16, 2021",8:02:20 am,15.4735062,120.9761487,::1,"July 16, 2021",5:32:12 pm,15.4735062,120.9761487,::1,
6,"July 16, 2021",8:40:35 am,15.4848527,120.9691899,::1,"July 19, 2021",8:03:03 am,15.4735062,120.9761487,::1,
2,"July 19, 2021",7:13:41 am,15.4735062,120.9761487,::1,"July 19, 2021",5:32:16 pm,15.4735062,120.9761487,::1,
6,"July 19, 2021",9:50:02 am,15.4848525,120.96919,::1,"July 19, 2021",5:38:45 pm,15.4848525,120.96919,::1,
2,"July 21, 2021",7:32:00 am,15.4735062,120.9761487,::1,"July 21, 2021",5:39:00 pm,15.4735062,120.9761487,::1,
7,"July 21, 2021",8:13:33 am,15.4735062,120.9761487,::1,"July 21, 2021",5:33:57 pm,15.4735062,120.9761487,::1,
6,"July 21, 2021",8:14:26 am,15.4849176,120.9691664,::1,"July 21, 2021",5:39:54 pm,15.4848399,120.9691935,::1,
2,"July 22, 2021",7:39:00 am,15.4735062,120.9761487,::1,"July 22, 2021",5:38:00 pm,15.4735062,120.9761487,::1,
7,"July 22, 2021",8:05:05 am,15.4735062,120.9761487,::1,"July 22, 2021",5:36:21 pm,15.4735062,120.9761487,::1,
6,"July 22, 2021",8:21:00 am,15.4848236,120.9691728,::1,"July 22, 2021",5:37:20 pm,15.4848288,120.9691781,::1,
2,"July 23, 2021",7:24:24 am,15.4735062,120.9761487,::1,"July 23, 2021",5:32:01 pm,15.4735062,120.9761487,::1,
7,"July 23, 2021",8:17:22 am,15.4735062,120.9761487,::1,"July 23, 2021",5:33:46 pm,15.4735062,120.9761487,::1,
6,"July 23, 2021",8:27:00 am,15.4848216,120.9691729,::1,"July 23, 2021",5:33:00 pm,15.4848216,120.9691729,::1,
2,"July 26, 2021",7:27:00 am,15.4735062,120.9761487,::1,"July 26, 2021",5:40:00 pm,15.4735062,120.9761487,::1,
7,"July 26, 2021",8:05:09 am,15.4735062,120.9761487,::1,"July 26, 2021",5:47:06 pm,15.4735062,120.9761487,::1,
6,"July 26, 2021",8:16:50 am,15.4850461,120.9698855,::1,"July 26, 2021",6:05:58 pm,15.4848288,120.9691677,::1,
