Transmittal ID,Description,Status,Current Employee,Current Department,Transmitted Employee,Transmitted Department,Last Transaction Date,Last Transaction Time
29,PR: MLopez ID,1,3,DEPT2,35,DEPT6,"January 15, 2021",9:30:25 am
30,Written Reprimand- Compliance 3rd Qtr 2020,1,2,DEPT1,,DEPT2,"January 13, 2021",9:40:50 am
31,Commendation- Perfect Attendance November 2020,1,2,DEPT1,,DEPT2,"January 13, 2021",9:40:27 am
33,Reimbursement - JBAlejo (P 670.00),1,3,DEPT2,35,DEPT6,"January 15, 2021",9:33:51 am
34,"RFP: 1. Primewater Infrastructure Corporation - P 3,761.94 2. SSS Contribution - P 44, 430.00 3. SSS Loans - P 8,259.96 4. JBAlejo - P 14, 414.10 Purchase Request : Safety Supplies - February 2021",1,3,DEPT2,35,DEPT6,"January 15, 2021",9:34:02 am
35,Purchase Request : ID Replacement - KSVillar RFP: Reimbursement - JBAlejo - P 670.00,1,3,DEPT2,35,DEPT6,"January 15, 2021",9:34:21 am
36,Transmittal of PMW setting of Lemar Bill Micayas (jan 9 - feb 8 2021),1,6,DEPT1,,DEPT2,"January 14, 2021",3:40:03 pm
37,Request for payment FAO: Willie G. San Pedro.,1,17,DEPT4,17,DEPT4,"February 16, 2021",3:28:48 pm
38,Last Pay - Ms. Kristine S. Ganias,1,28,DEPT6,,DEPT2,"January 15, 2021",1:27:03 pm
39,MEMO FOR PROPER SAFEKEEPING OF HARDCOPY FILES,1,9,DEPT4,,DEPT6,"February 08, 2021",4:21:02 pm
40,Request for payment FAO: Willie D. San pedro,1,17,DEPT4,,DEPT6,"January 15, 2021",11:23:38 am
41,Recommended Transfer of Assignment and Change of Designation of Partners,1,3,DEPT2,9,DEPT4,"January 15, 2021",3:07:39 pm
42,"RFP: Jedd B. Alejo - P 700.00 Mary Ann D. Soniga - P 25,000.00 Pantry and Exec Supplies - P 2,344.00",1,3,DEPT2,35,DEPT6,"January 21, 2021",8:44:20 am
43,Recommended Transfer of Assignment and Change of Designation of Partners,1,37,DEPT7,20,DEPT2,"January 21, 2021",8:48:30 am
44,"RFP: WILLIE D. SAN PEDRO 10,000.00 RFP: MARY ANN D. SONIGA 25,000.00 CASH FOR ESC 30,398.00",3,35,DEPT6,37,DEPT7,"January 18, 2021",8:43:31 am
45,request for payment Mary Ann D. Soniga 25000,1,37,DEPT7,,DEPT6,"January 18, 2021",11:37:20 am
46,rfp willie d. san pedro 10000,1,37,DEPT7,,DEPT6,"January 18, 2021",11:37:11 am
47,"Variance Report of Data Center Dec 2020, (For PMW Lemar dec 2020 to jan 2021)",1,6,DEPT1,3,DEPT2,"January 18, 2021",8:50:32 am
48,Proper safekeeping of hardcopy files.,1,17,DEPT4,15,DEPT6,"January 26, 2021",4:19:16 pm
49,EWB Check number 783972,1,36,DEPT6,20,DEPT2,"January 18, 2021",11:39:47 am
50,"Clearance to release original OR and CR. ,FAO : Manabat, Gerson Alvarez,FAO : Abian, Rizandro San Jose,FAO : Natividad, Ruby Galara",1,17,DEPT4,4,DEPT3,"January 18, 2021",9:19:42 am
52,"Proper safekeeping of hardcopy files. Release of chattel mortgage FAO Simon, Myrna Robillos Release of chattel mortgage FAO Montemayor,Teresita Rivera.",1,37,DEPT7,15,DEPT6,"January 26, 2021",4:19:00 pm
62,"modification of user access fao csrivera, abjuanani, rfdelacruz",3,10,DEPT4,6,DEPT1,"February 04, 2021",10:52:53 am
63,"CHANGE REQUEST FORM FAO 1000212725 PADRE JUAN, CLARISSA DE JESUS",1,2,DEPT1,,DEPT6,"January 18, 2021",11:38:13 am
66,MOBILE PHONE REQUEST FORM,3,31,DEPT5,2,DEPT1,"February 01, 2021",1:54:59 pm
67,"TC034-Samsung A20, charger, box, mobile number 09176260849",1,2,DEPT1,31,DEPT5,"January 18, 2021",3:45:28 pm
68,"RFP: The Mercantile Insurance Co, Inc. - 8,962.40",1,37,DEPT7,,DEPT6,"January 25, 2021",9:37:24 am
69,"RFP: Jose I. Cadiz, Jr. - 24,000.00",1,37,DEPT7,,DEPT6,"January 25, 2021",9:35:06 am
70,"RFP: Lynn T. Punsalan - 1,534.00",1,37,DEPT7,,DEPT6,"January 25, 2021",9:35:54 am
71,"Change Request Form - 1000212725 - PADRE JUAN, CLARISSA DE JESUS",3,4,DEPT3,,DEPT1,"January 25, 2021",10:26:04 am
72,"Waiver of Interest and Penalties - 1000204054 - SANTIAGO, JUAN CARLOS RHUL GARCIA",1,37,DEPT7,,DEPT3,"January 25, 2021",9:35:00 am
73,Encore Leasing & Finance Corp Vision 2021 (Business Plan and Programs 2021),1,37,DEPT7,20,DEPT2,"February 23, 2021",11:54:22 am
74,Proposed Job Offer (Sealed Envelop),1,37,DEPT7,36,DEPT6,"January 26, 2021",1:22:26 pm
75,Recommendation - Wearing of Face Shield,1,37,DEPT7,36,DEPT6,"January 26, 2021",1:22:33 pm
76,Recommendation - Modified Purchasing Process,1,37,DEPT7,36,DEPT6,"January 26, 2021",1:22:40 pm
77,Recommendation - Evaluation of Morale and Discipline Issues,1,37,DEPT7,,DEPT6,"January 26, 2021",1:22:47 pm
78,Last Pay - KSGanias,1,37,DEPT7,20,DEPT2,"January 25, 2021",9:23:22 am
79,Doc. Stamp Tax Dec./Ret. - AVBalbadores,1,28,DEPT6,5,DEPT3,"January 21, 2021",9:06:31 am
80,Doc. Stamp Tax Dec./Ret. - RLJapitana,1,28,DEPT6,5,DEPT3,"January 21, 2021",9:07:01 am
82,"APPLICATION AND REQUIREMENTS FAO: VASCOS, BRENDA GRAGASIN",1,31,DEPT5,,DEPT4,"January 21, 2021",10:19:33 am
83,"APPLICATION AND REQUIREMENTS WITH ORCR AND STENSILS FAO: BAUTISTA, RHODA NELMIDA",1,31,DEPT5,4,DEPT3,"January 25, 2021",3:57:36 pm
84,RFP FOR PCV REPLENISHMENT 01.07.2021-01.15.2021,1,5,DEPT3,28,DEPT6,"January 21, 2021",11:03:07 am
85,"LIQUIDATION FAO 1000212563 - YU, BRYAN DALE POLICARPIO",3,37,DEPT7,,DEPT6,"January 26, 2021",10:44:44 am
86,"LIQUIDATION FAO 1000212692 - NUÑEZ, RYAN MANGILIT",3,37,DEPT7,,DEPT6,"January 26, 2021",10:45:17 am
87,"LIQUIDATION FAO 1000212660 - DELOS SANTOS, ROMEO DE GUZMAN",3,37,DEPT7,,DEPT6,"January 26, 2021",10:44:28 am
88,"LIQUIDATION FAO 1000212709 - ASAKAWA, ANALIZA RICE",3,37,DEPT7,,DEPT6,"January 26, 2021",10:44:04 am
89,RPF FAO ABJUANANI,1,35,DEPT6,29,DEPT4,"January 21, 2021",2:34:17 pm
90,"DST FAO 1000212826 - CABANILLA, MARY ANN ESPIRITU",3,5,DEPT3,28,DEPT6,"January 25, 2021",10:41:50 am
91,"RCM FAO 1000206154 - MURPHY, APRIL VILLAROZA",1,37,DEPT7,,DEPT3,"January 25, 2021",9:33:57 am
92,"RCM FAO 1000200725 - BALBADORES, APRILYN VILLANUEVA",1,37,DEPT7,,DEPT3,"January 25, 2021",9:34:04 am
93,"RCM FAO 1000205352 - SINOBEN, EUGENIA LOPEZ",1,37,DEPT7,,DEPT3,"January 25, 2021",9:34:15 am
94,"DST FAO 1000212779 - YUSON, WOODY PABILONIA",3,5,DEPT3,28,DEPT6,"January 25, 2021",10:41:26 am
95,"RCM FAO 1000202728 - DAVID, JOSE AQUINO",1,28,DEPT6,9,DEPT4,"January 25, 2021",12:15:09 pm
96,EMPLOYEE WEEKLY PROGRESS REPORT,1,38,DEPT3,3,DEPT2,"January 21, 2021",1:46:02 pm
97,Reimbursement - P 700.00,1,3,DEPT2,35,DEPT6,"January 21, 2021",2:32:36 pm
98,"DST FAO 1000212783 - CADAY, JAY VARGAS",3,5,DEPT3,28,DEPT6,"January 22, 2021",9:51:33 am
99,"RFP: Maria Anjeli S. Cadiz-Baena 1,500.00",1,37,DEPT7,,DEPT6,"January 25, 2021",9:35:22 am
100,"RFP: Rellie Ann S. Dela Cruz 9,679.75",1,37,DEPT7,,DEPT6,"January 25, 2021",9:37:41 am
101,"RCM FAO 1000204011 - LANGA, IMELDA BATUNGBAKAL",1,5,DEPT3,4,DEPT3,"January 21, 2021",3:35:44 pm
102,"RCM FAO1000199611 - MONTEMAYOR, TERESITA RIVERA",1,5,DEPT3,4,DEPT3,"January 21, 2021",3:35:50 pm
103,"RCM FAO1000197627 - SIMON, MYRNA ROBILLOS",1,5,DEPT3,4,DEPT3,"January 21, 2021",3:35:56 pm
104,"RCM FAO1000204003 - LANGA, IMELDA BATUNGBAKAL",1,5,DEPT3,4,DEPT3,"January 21, 2021",3:36:02 pm
105,"RCM FAO1000199646 - GARCIA, KAREN PARUMOG",1,5,DEPT3,4,DEPT3,"January 21, 2021",3:36:07 pm
106,"RCM FAO1000199573 - CARLOS, ARNOLD VENERACION",1,5,DEPT3,4,DEPT3,"January 21, 2021",3:36:14 pm
107,"RCM FAO1000199662 - SOLITARIO, VENER GLORIA",1,5,DEPT3,4,DEPT3,"January 21, 2021",3:36:20 pm
108,"RCM FAO1000204020 - LANGA, IMELDA BATUNGBAKAL",1,5,DEPT3,4,DEPT3,"January 21, 2021",3:36:25 pm
109,"Check number 895911 JOSE FABIAN CADIZ P 10,000.00",3,37,DEPT7,36,DEPT6,"January 26, 2021",3:07:29 pm
110,"Check number 895914 CITIBANK P 24,418.65",3,37,DEPT7,36,DEPT6,"January 26, 2021",3:08:26 pm
111,Check number 895913 PRIMEWATER P 262.44,3,37,DEPT7,36,DEPT6,"January 26, 2021",3:21:30 pm
112,"Check number 895912 CELCOR P 2,222.18",1,36,DEPT6,37,DEPT7,"January 21, 2021",3:00:08 pm
113,"EMILIOS FLOWER SHOP OR P1,200",3,36,DEPT6,37,DEPT7,"January 26, 2021",4:57:28 pm
114,RECOMMENDATION - RECRUITMENT SPIELS,1,9,DEPT4,37,DEPT7,"January 21, 2021",3:16:39 pm
115,"RCM FAO 1000208947 - CABANILLA, MARY ANN ESPIRITU",1,37,DEPT7,,DEPT3,"January 25, 2021",9:34:21 am
116,resignation letter fao melvin santiago,1,10,DEPT4,3,DEPT2,"January 21, 2021",5:05:29 pm
117,Doc. Stamp Tax Dec./Ret. - JVCaday,1,28,DEPT6,5,DEPT3,"January 22, 2021",9:50:55 am
118,"Approved RFP - Smart Communications Inc amounting to P 11,498.37",1,35,DEPT6,28,DEPT6,"January 22, 2021",9:12:19 am
119,RECCOMENDATION : PROCEDURE ON INSURANCE COMMISSION,1,4,DEPT3,9,DEPT4,"January 22, 2021",9:48:01 am
120,"rfp fao edgardo g. villarin amounting to 10,000 php",1,37,DEPT7,,DEPT6,"January 25, 2021",9:36:18 am
121,PR- CCTV Repair at Parking Lot,1,37,DEPT7,20,DEPT2,"January 25, 2021",9:23:57 am
122,"LOAN DOCUMENTS FAO 1000212779 - YUSON, WOODY PABILONIA INC. THE REPLACEMENT OF 2ND PAGE OF PN",1,31,DEPT5,4,DEPT3,"January 25, 2021",3:57:18 pm
123,Applicant for Interview - HR Assistant,1,37,DEPT7,20,DEPT2,"January 25, 2021",2:35:49 pm
124,REQUEST FOR FUNDING: GROSS RECEIPTS TAX PAYMENT FOR 4TH QTR OF 2020,1,36,DEPT6,37,DEPT7,"January 22, 2021",3:37:42 pm
125,request for funding: gross receipts tax payment for 4th quarter of 2020,1,37,DEPT7,36,DEPT6,"January 25, 2021",8:48:49 am
127,"SOA BPI PHILAM JIC 84,080",1,37,DEPT7,36,DEPT6,"January 25, 2021",8:48:57 am
128,Doc. Stamp Tax Dec./Ret. - WPYuson,1,28,DEPT6,5,DEPT3,"January 25, 2021",9:34:29 am
129,Doc. Stamp Tax Dec./Ret. - MAECabanilla,1,28,DEPT6,5,DEPT3,"January 25, 2021",9:34:38 am
130,REQUEST FOR SECRETARY'S CERTIFICATE (JOSE JOEL V. REYES),3,37,DEPT7,,DEPT6,"January 26, 2021",2:36:32 pm
131,Check number 895915 BPI PHILAM (Life insurance payment of JIC),1,36,DEPT6,37,DEPT7,"January 25, 2021",9:10:45 am
132,"SOA PETRON (1,036.55)",3,36,DEPT6,37,DEPT7,"January 27, 2021",9:24:16 am
133,BUDGET REQUEST - ADDITIONAL EXPENSES FOR ACCOMMODATION ALLOWANCE OF MR. ROGELIO D. DELA CRUZ II,1,37,DEPT7,20,DEPT2,"January 25, 2021",9:24:11 am
134,APPLICATION FOR LEAVE (MARIA ANJELI CADIZ-BAENA),1,37,DEPT7,20,DEPT2,"January 25, 2021",9:23:46 am
135,"SOA FAO 1000201543 - MANINGAS, JAY SAN PEDRO",1,28,DEPT6,38,DEPT3,"January 25, 2021",1:18:31 pm
136,"REIMBURSEMENT: LIQUIDATION FAO 1000212563 - YU, BRYAN DALE POLICARPIO 601.00",1,35,DEPT6,5,DEPT3,"January 25, 2021",9:36:05 am
139,Clearance FAO Gidget Pangilinan with copy of Waiver,1,2,DEPT1,,DEPT4,"January 25, 2021",11:24:51 am
140,Memo: Refund of Incorrect Transaction Credit,1,35,DEPT6,36,DEPT6,"January 25, 2021",2:13:24 pm
142,RFP for expenses last 01/23/2021 (please see charging of expenses to departments),1,11,DEPT4,35,DEPT6,"January 25, 2021",1:25:38 pm
143,"RFP - Excelline - P 23,780.51",1,35,DEPT6,3,DEPT2,"January 26, 2021",4:43:17 pm
144,"RFP - Angeles Electric Corp. - P 1, 596.27",1,35,DEPT6,3,DEPT2,"January 26, 2021",4:43:12 pm
145,"RFP - JJAKE - P 130,000.00",1,3,DEPT2,35,DEPT6,"January 25, 2021",2:12:04 pm
146,"Issued PDC for Term Extemsion FAO:Jonathan M. Esguerra #106469 #106468 amounting P29,920.11.",1,17,DEPT4,4,DEPT3,"January 25, 2021",2:10:52 pm
148,request for cancellation of check fao Atty Go and RFP fao Atty Villarin,1,10,DEPT4,35,DEPT6,"January 25, 2021",2:28:31 pm
149,rfp fao BAP amounting to P706.2,1,10,DEPT4,35,DEPT6,"January 25, 2021",2:28:40 pm
152,RECOMMENDATION FOR PERMANENCY - NRGUTIERREZ,1,36,DEPT6,37,DEPT7,"January 25, 2021",3:12:13 pm
153,Proposed Job Offer,1,37,DEPT7,20,DEPT2,"January 28, 2021",11:49:23 am
154,"RCM FAO 1000205352 - SINOBEN, EUGENIA LOPEZ",1,5,DEPT3,4,DEPT3,"January 25, 2021",3:23:42 pm
155,"RCM FAO 1000208947 - CABANILLA, MARY ANN ESPIRITU",1,5,DEPT3,4,DEPT3,"January 25, 2021",3:25:34 pm
156,"RCM FAO 1000206154 - MURPHY, APRIL VILLAROZA",1,5,DEPT3,4,DEPT3,"January 25, 2021",3:25:10 pm
157,"RCM FAO 1000200725 - BALBADORES, APRILYN VILLANUEVA",1,5,DEPT3,4,DEPT3,"January 25, 2021",3:25:42 pm
158,"RFP: Globe Multicash 1,363.41",1,35,DEPT6,37,DEPT7,"January 25, 2021",3:51:35 pm
159,"RFP: JJake United Holdings Corp. 130,000.00",1,35,DEPT6,37,DEPT7,"January 25, 2021",3:55:35 pm
160,"RFP: Rochelle MAe Jasmin 1,209.00",1,35,DEPT6,37,DEPT7,"January 25, 2021",3:57:30 pm
161,"RFP: Edgardo G. Villarin 2,500.00",1,35,DEPT6,37,DEPT7,"January 25, 2021",3:57:39 pm
162,RFP: BAP Credit Bureau Inc. 706.20,1,35,DEPT6,37,DEPT7,"January 25, 2021",3:58:06 pm
163,"RFP: Lynn T. Punsalan 1,534.00",1,35,DEPT6,37,DEPT7,"January 25, 2021",3:58:16 pm
164,"RFP: Carlo S. Rivera 2,620.00",1,35,DEPT6,37,DEPT7,"January 25, 2021",3:58:45 pm
165,"Request for Cancellation of Check 3241788247 - Jason Edward G. Go 2,500.00",1,35,DEPT6,37,DEPT7,"January 25, 2021",3:59:07 pm
166,RFP for Month-end Dues,1,35,DEPT6,37,DEPT7,"January 25, 2021",4:00:21 pm
167,Secretary's Certificate for Deed of Sale to Jose Joel V. Reyes with attached request for sec cert,1,35,DEPT6,37,DEPT7,"January 25, 2021",4:00:40 pm
168,"RFP - Rogelio Dela Cruz - P 11,200",1,37,DEPT7,,DEPT6,"January 27, 2021",9:56:58 am
169,"DST FAO 1000212801 - CAYANAN, NEIL CHRISTOPHER MANINANG",3,5,DEPT3,28,DEPT6,"January 28, 2021",10:14:35 am
170,"Accreditation for Candelaria, Jerric Tuazon (Loan Consultant)",1,31,DEPT5,11,DEPT4,"January 25, 2021",3:51:58 pm
171,SCHEDULED LEAVE FOR 2021- LOAN OPS DEPT.,1,4,DEPT3,,DEPT2,"January 26, 2021",1:07:42 pm
172,"MOTORCYCLE KEYS FAO 1000211441 - DUCLAYAN, ARIEL DE LEON",1,4,DEPT3,29,DEPT4,"January 25, 2021",4:51:59 pm
173,Pay Advice: AR (Confi & Non Confi) and AP (Confi & Non Confi),1,28,DEPT6,20,DEPT2,"January 26, 2021",5:10:01 pm
174,"Bank Statement FAO: Ramos, Jimmy Alcantara (Original)",0,31,DEPT5,29,DEPT4,"January 25, 2021",5:18:02 pm
175,CITIBANK DOCUMENT FOR SIR JERIC,1,37,DEPT7,36,DEPT6,"January 26, 2021",1:42:00 pm
176,RCM DAVID JOSE AQUINO,1,36,DEPT6,37,DEPT7,"January 25, 2021",7:05:43 pm
177,MEMO: Acceptance and Posting of Payment Thru Point of Sale (POS) Machine,1,9,DEPT4,28,DEPT6,"January 26, 2021",5:10:45 pm
178,DOCS FAO EDWARD JOSEPH CORTEZ PANGILINAN,1,4,DEPT3,11,DEPT4,"January 26, 2021",11:36:01 am
179,"RFP JJAKE RENT FOR JAN 2021 P 130,000",1,36,DEPT6,,DEPT6,"January 26, 2021",11:58:44 am
180,"RFP CRIVERA (SERVER HUB ROTATION & SUBIC UNIT APPRAISAL) P 2,620.00",1,36,DEPT6,,DEPT6,"January 26, 2021",1:18:17 pm
181,"RFP LTPUNSALAN (TRAVELLING EXPS BUDGET PRESENTATION) P 1,534.00",1,36,DEPT6,,DEPT6,"January 26, 2021",1:18:29 pm
182,RFP BAP CREDIT FOR DEC 2020 P 706.20,1,28,DEPT6,10,DEPT4,"January 27, 2021",3:40:29 pm
183,"RFP GLOBE MULTICASH NOV & DEC 2020 P 1,363.41",1,36,DEPT6,,DEPT6,"January 26, 2021",1:18:41 pm
184,"RFP EVILLARIN (PETITION FOR FINANCIAL REHABILITATION FAO ADRIATICO) P 2,500",1,36,DEPT6,,DEPT6,"January 26, 2021",1:18:00 pm
185,SIGNED SEC CERT DEED OF ABSOLUTE SALE 2007 ISUZU TRUCK NHR PASSENGER VAN W/ PLATE NO. ZHL153,1,36,DEPT6,35,DEPT6,"January 26, 2021",11:50:44 am
186,RFPS FOR MONTH END DUES,1,36,DEPT6,,DEPT6,"January 26, 2021",1:19:44 pm
188,"RFP ROCHELLE MAE JASMIN (REFUND OF INCORRECT TRANSACTION CREDIT) P 1,209.00",1,36,DEPT6,,DEPT6,"January 26, 2021",11:57:02 am
189,CANCELLATION OF CHECK JASON EDWARD GO (CHECK NUMBER 3241788247) P 2500,1,36,DEPT6,,DEPT6,"January 26, 2021",11:54:51 am
190,MEMO - CONFIDENTIAL,1,36,DEPT6,20,DEPT2,"January 26, 2021",1:09:36 pm
191,RECOMMENDATION - HEALTH CARE RENEWAL,1,36,DEPT6,20,DEPT2,"January 26, 2021",1:08:11 pm
192,REVISED TABLE OF INTEREST RATE FOR 2021,1,36,DEPT6,20,DEPT2,"January 26, 2021",1:08:17 pm
193,RECOMMENDATION - WEARING OF FACE SHIELD,1,36,DEPT6,20,DEPT2,"January 26, 2021",1:08:40 pm
194,RECOMMENDATION - RECRUITMENT SPIELS,1,36,DEPT6,20,DEPT2,"January 26, 2021",1:08:33 pm
195,RECOMMENDATION - MODIFIED PURCHASING PROCESS,1,36,DEPT6,20,DEPT2,"January 26, 2021",1:08:47 pm
196,RECOMMENDATION - EVALUATION OF MORALE & DISCIPLINE ISSUES,1,36,DEPT6,20,DEPT2,"January 26, 2021",1:08:56 pm
197,PURCHASE ORDER - 2 BRIDGESTONE TIRE,1,36,DEPT6,20,DEPT2,"January 26, 2021",1:09:07 pm
198,RECOMMENDATION FOR PERMANENCY - NRGUTIERREZ,1,36,DEPT6,20,DEPT2,"January 26, 2021",1:09:14 pm
199,PROPOSED JOB OFFER (ENVELOPE),1,36,DEPT6,20,DEPT2,"January 26, 2021",1:09:23 pm
200,PROPOSED JOB OFFER (ENVELOPE),1,36,DEPT6,20,DEPT2,"January 26, 2021",1:09:28 pm
201,RCM FAO 1000202728,1,5,DEPT3,4,DEPT3,"January 26, 2021",2:36:48 pm
202,"LIQUIDATION FAO:1000212563 YU, BRYAN DALE POLICARPIO",1,37,DEPT7,36,DEPT6,"January 26, 2021",3:56:31 pm
203,"LIQUIDATION FAO: 1000212692 NUNEZ, RYAN MANGILIT",1,37,DEPT7,36,DEPT6,"January 26, 2021",3:56:37 pm
204,LIQUIDATION FAO 1000212660 DELOS SANTOS ROMEO,1,37,DEPT7,36,DEPT6,"January 26, 2021",3:56:47 pm
205,"LIQUIDATION FAO 1000212709 ASAKAWA, ANALIZA RICE",1,37,DEPT7,36,DEPT6,"January 26, 2021",3:56:25 pm
206,"RCM FAO 1000200954 - SANTIAGO, ALBERT MANGUNAY",1,5,DEPT3,4,DEPT3,"January 29, 2021",2:41:51 pm
207,"CLEARANCE FAO 1000207916 - DELA CRUZ, ALBERTO GARCIA",1,9,DEPT4,,DEPT3,"January 26, 2021",5:31:21 pm
208,"CLEARANCE FAO 1000208033 - ANG, JONATHAN DIAZ",1,9,DEPT4,,DEPT3,"January 26, 2021",5:31:26 pm
209,"CLEARANCE FAO 1000199794 - AGLIAM, JOVITA BERNARDO",1,28,DEPT6,9,DEPT4,"January 29, 2021",12:16:27 pm
210,Applicant for In-House CI & Collection Staff Position,1,37,DEPT7,20,DEPT2,"January 28, 2021",11:49:30 am
211,Notarized Secretary's Certificate for Deed of Sale to Jose Joel V. Reyes (2 original copies),1,35,DEPT6,10,DEPT4,"January 26, 2021",2:38:29 pm
212,2020 YEAR END ADJUSTMENTS (SEALED ENVELOPE),1,37,DEPT7,15,DEPT6,"January 29, 2021",8:52:17 am
213,SOA OF BAGUIO COUNTRY CLUB STATEMENT DATE 12/31/2020,1,36,DEPT6,37,DEPT7,"January 26, 2021",3:15:36 pm
214,"SOA FAO 1000207762 TADOKORO, CATHERINE CAPIZ",1,28,DEPT6,38,DEPT3,"January 26, 2021",4:37:22 pm
215,"CHECK NUMBER 895916 PETRON (DEC 16-31 SOA) P 1,036.55",1,36,DEPT6,37,DEPT7,"January 26, 2021",4:45:26 pm
216,Request to Deduct the Remaining Balance of SPL3 FAO FEFernandez,1,37,DEPT7,13,DEPT5,"January 27, 2021",9:36:04 am
217,2 Sealed Envelope - Proposed Job Offer,3,3,DEPT2,37,DEPT7,"February 02, 2021",8:54:14 am
218,Request for Sec. Cert. -Amendment of Bank Signatories,1,37,DEPT7,,DEPT6,"January 29, 2021",9:51:40 am
219,req for sec cert for board reso for legal cases,1,37,DEPT7,,DEPT4,"February 04, 2021",8:53:36 am
220,Recommended Extension of Effectivity Date of Resignation of Ms. Jedd B. Alejo,1,37,DEPT7,20,DEPT2,"January 28, 2021",11:49:38 am
221,Recommended Transfer of Assignment of Ms. Alyssa Keith S. Cajucom,1,37,DEPT7,20,DEPT2,"January 28, 2021",12:58:43 pm
222,ADVANCES FOR EXPENSES FOR GREEN EARTH PULL OUT TO CFA LAW STRATEGIC RESOURCES,1,37,DEPT7,15,DEPT6,"January 26, 2021",5:15:37 pm
223,SEPARATION CLEARANCE REQUEST FORM OF GIDGET PANGILINAN,1,9,DEPT4,,DEPT2,"January 28, 2021",10:07:54 am
224,DEED OF ABSOLUTE SALE OF ENCORE TO JOSE JOEL V. REYES - 2007 ISUZU TRUCK NHR PASSENGER VAN,1,37,DEPT7,,DEPT4,"January 27, 2021",9:28:33 am
225,LSS - Messengers Salary,1,37,DEPT7,,DEPT6,"January 29, 2021",9:51:53 am
226,"RFP - Angeles Electric Corp. - P 1,623.27",1,37,DEPT7,,DEPT6,"January 29, 2021",9:51:19 am
227,trip incentive process,1,37,DEPT7,20,DEPT2,"February 04, 2021",6:04:48 pm
228,Sealed Envelope - Short - Proposed Job Offer,1,3,DEPT2,37,DEPT7,"January 27, 2021",9:18:25 am
